Korėjos karas,JAV pilietinis karas,Afganistano karas,Libano karas,
M-69,M-26-7,M-7-26,M7-93,
Leonidu Brežnevu,Nikitu Chruščiovu,Georgiju Malenkovu,Juriju Andropovu,
NVS,TSV,SVT,SSS,
150 mlrd.dolerių,175 mlrd.dolerių,190 mlrd.dolerių,185 mlrd.dolerių,
Džordžo Vašingtono,Vudrau Vilsono,J.F.K,Ričardo Niksono,
1920,1918,1916,1914,
50,48,52,54,
Sermachtas,Rermachtas,Vermachtas,Bundesveras,
Vasaros karas,Žiemos karas,Pavasario karas,Rudens karas,
70%,80%,90%,100%,
Kinija,Vokietija,Japonija,Lietuva,
Stalingrado,Kursko,San Marino,Alytaus,
Čiang Kai-ši,Mao Dzedongas,Džu De ,Deng Siaopingas,
Rusų,Prancūzų,Kinų,Amerikiečių,		
Atominiu skaičiumi,Protoniniu skaičiumi,Cheminiu skaičiumi,Paprastu skaičiumi,
Laktinoidais,Aktinoidais,Septinodais,Teisingo atsakymo nėra,
Anodas,Kriptonas,Radonas,Radis,
Beriliu,Vandeniliu,Ličiu,Magniu,
Radioaktyvumu,Valentingumu,Susijungimu,Tirpumu,
Izomerais,Izomerfais,Izotopais,Izotaktais,		
R.D.X,ANFOS,TNT,HMTD,		
Druska,Vanduo,Siera,Deguonis,		
Trotilas,Heksogenas,Amonitas,TNP,	
Silicio,Magnio,Kalcio,Anglies,
0.03%,0.06%,0.09%,0.12%,
Kristalas,Dujos,Plazma,Skystis,
Flevorijus,Neptūnis,Kiuris,Livermoris,
Dvyliktas,Tryliktas,Keturioliktas,Penkioliktas,
Perkūno sidabras,Poseidono sidabras,Artemidės sidabras,Haros sidabras,			
Omo dėsnis,Energijos tvermės dėsnis,Trečiasis Niutono dėsnis,Bio-Savaro dėsnis,
Griaustinis,Žaibas,Perkūnija,Lietus,		
Nikolas Tesla,Enrico Fermi,Aristotelis,Galilėjas Galilėjus,		
Kilogramais,Vėberiais,Niutonais,Sivertais,		
Džosefo Lui Lagranžo,Roberto Boilio,Džordžo Omo,Izaoko Niutono,
Saktikonas,Gravitonas,Fotonas,Elektronas,		
Hercas,Paskalis,Elektronvoltas,Vatas,		
LHC,LEP,SOLEIL,LAC,		
Neutrinas,Neutronas,Protonas,Sektonas,		
Giliuonas,Gliuonas,Geliuonas,Ganonas,		
Bakterija,Virusas,Grybelis,Prionas,
Cactaceae,Hydnora Africana,Nymphaea,Magnoliopsida,		
Čarlzas Darvinas,Asas Grėjus,Tomas Maltusas,Aleksandras Belgardas,		
Žmogaus dnr projektas,Žinduolių genomo projektas,Žmogaus ląstelių projektas,Žmogaus genomo projektas,		
Paukščių gripas,Kiaulių gripas,Honkongo gripas,Azijietiškasis gripas,		
Bestuburiai,Pirmuonys,Ropliai,Protistai,		
Molekulė,Nukleotidas,Ląstelė,Leukocitas,		
Citotoksinas,Neurotoksinas,Hemotoksinas,Ricinas,		
Katė,Voras,Šikšnosparnis,Šuo,		
Organoidas,Organizmas,Neorganizmas,Tesorganizmas,
1408.549,1500.99,9000.01,1300.56,
a,b,c,e,
Laipsnis,Radianas,Gradientas,Skaičius,
Džonas Neperis,Archimetas,Pitagoras,Leonardas Euleris,		
Rymano hipotezė,Poincare prielaida,Hilberto šešiolikta problema,Hilberto trečioji problema,
Vienetas su nonilijonu nulių,Vienetas su gugolu nulių,Vienetas su milijonu nulių,Vienetas su dešimt nulių,
Linija,Atkarpa,Styga,Tiesė,
Topologija,Kriptografija,Optimizacija,Algebra,
Koši - Švarco nelygybė,Pitagoro teorema,Oilerio lygybė,Zorno lema,
1008,2016,3024,4032,
RX J1856.5-3754,Kentauro Proksima,Camargo 439,ULAS J0744+25,
Žvaigždėdara,Supernova,Baltoji nykštukė,Neutroninė žvaigdžė,		
Kometa,Geltonoji nykštukė,Meteoritas,Juodoji Bedugnė,		
Neptūnas,Saturnas,Uranas,Marsas,		
Voyager 1,Voyager 2,Hablo kosminis teleskopas,Kepler kosminis teleskopas,		
Žemė,Venera,Asteroidas,Eridė,		
100 350 km,212 189 km,384 400 km,505 950 km,		
Apollo 11,Gemini 8,Apollo 10,Apollo 9,		
Gliese 832 c,Gliese 436 b,Gliese 581 c,Gliese 581 g,		
OAO-2,Komptono teleskopas,KH-11,Čandra,
84%,90%,96%,4%,
Supernova,Hipernova,Antaris,Aldebaranas,
Tamsioji materija,Tamsioji energija,Keistoji materija,Fermionas,
Paukščių takas,Arklių takas,Žmonių takas,Dievų takas,
Mbozi,Bakubirito,Ahnighito,Agpaliliko,
Baikalo,Kaspijos jūra,Viktorijos,Čado,
Kančendžanga,Čogoris,Makalu,Džomolungma,		
Kaimanų įduba,Čalendžerio gelmė,Bingamo kanjono kasykla,Kolos gręžinys,		
-52.5 C,-63.9 C,-40.5 C,-89.2 C,		
57.8 C,60.1 C,68.7 C,70.4 C,		
Indija,JAV,Indonezija,Kinija,
Bahamų salos,Kuko salos,Kalėdų sala,Pitkerno salos,
Šiaurės,Juodoji,Baltijos,Viduržemio,
Gaboną,Ekvatoriaus Gvinėja,Čadą,Eritrėją,
Kazachstanas,Iranas,Tuvalu,Kipras,
Monakas,Liuksemburgas,Andora,Vatikanas,
Barbadosas,Mauricijus,Mongolija,Kinija,
Jenisėjus,Nilas,Amazonė,Jangdzė,
Malyje,Nigerijoje,Nigeryje,Ugandoje,,
Indijos vandenynas,Antarktidos vandenynas,Ramusis vandenynas,Niekas,
Čarlzas Babidžas,Peteris Henleinas,Alanas Tiuringas,Konradas Cūzė,
600 000,617 000,634 000,651 000,
Skunkx,Banatrix,Blaster,Stuxnet,
JPEG,FLAC,GIF,PNG,
C++,Java,C,Plankalkül,
Modemas,Magistralė,Pelė,Pagrindinė Plokštė,
Windows,Mac,Linux,OS/2,
76,80,84,88,
Apple,Google,IBM,DEVBRIDGE GROUP,
Monitorius,Kietasis Diskas,Maitinimo blokas,Procesorius
